epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,120.794,2.17832,4.79853,2.23514,0.00334,1,0.48791,0.30501,1.22869,3.8708,0.8837,0.000543319,0.000543319,0.000543319
2,234.257,1.11449,2.50443,1.21138,0.46574,0.9027,0.52553,0.37388,1.01999,2.57865,0.59287,0.000990186,0.000990186,0.000990186
3,346.761,0.87487,1.99802,1.03973,0.49302,0.94732,0.53786,0.37895,1.05686,2.61733,0.62558,0.00132703,0.00132703,0.00132703
4,458.764,0.82848,1.83592,0.99478,0.48413,1,0.55766,0.50001,0.53791,1.95659,0.27251,0.0011719,0.0011719,0.0011719
5,565.986,0.65401,1.58882,0.92397,0.49617,1,0.56959,0.51397,0.44831,1.49958,0.2492,0.00100687,0.00100687,0.00100687
6,674.419,0.59276,1.45913,0.89531,0.49705,1,0.55801,0.50256,0.46999,1.45762,0.22781,0.000841835,0.000841835,0.000841835
7,783.832,0.51134,1.37951,0.86151,0.49788,1,0.63785,0.56791,0.48528,1.32387,0.21103,0.000676802,0.000676802,0.000676802
8,893.532,0.4306,1.2626,0.83835,0.49871,1,0.67183,0.62332,0.40776,1.20099,0.18234,0.000511769,0.000511769,0.000511769
9,1009.41,0.37958,1.11089,0.82403,0.98055,0.99438,0.99476,0.95351,0.3223,1.01934,0.1759,0.000346736,0.000346736,0.000346736
10,1127.41,0.35373,0.96847,0.81614,0.99624,1,0.995,0.96734,0.26816,0.8537,0.17089,0.000181703,0.000181703,0.000181703
