epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.234,2.08774,4.19714,2.20698,0.00332,1,0.36352,0.16569,1.5478,3.87988,1.61927,0.000543319,0.000543319,0.000543319
2,239.735,1.30532,2.5712,1.43266,0.48296,0.91036,0.53628,0.2277,1.69427,3.17723,1.24152,0.00107723,0.00107723,0.00107723
3,354.202,1.10607,2.15926,1.25221,0.46312,0.83051,0.56261,0.27748,1.85851,3.07752,1.49851,0.00158913,0.00158913,0.00158913
4,469.476,0.94578,1.9188,1.16845,0.50124,0.98989,0.55604,0.44699,0.87383,1.90482,0.37963,0.00156798,0.00156798,0.00156798
